"id","name","shape","carat","color","clarity","cut","lab","certificate_number","original_price","size","growth_type","depth ","table ","video_url"," certificate_link","image_link"
"1","LOZENGE Shape Antique Cut Diamond","LOZENGE","5.2","F","VS1","","NON-CERT","NON-CERT","1941.94","0-0*0","CVD","0","0","https://videop.co.in/vision360.html?d=25336","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://videop.co.in/imaged/25336/25336.jpg"
"2","CRISS Shape Antique Cut Diamond","CRISS","3.01","G","VS2","","IGI","522226657","802.17","10.06X6.69X4.34","CVD","64.9","69.5","https://www.filesonsky.com/600161/600161.HTML","https://www.igi.org/reports/verify-your-report?r=522226657","https://www.filesonsky.com/600161/600161_2.jpg"
"3","ASHOKA (CRISS ) Shape Antique Cut Diamond","ASHOKA (CRISS )","5.03","E","VS1","","IGI","649419498","3565.01","12.03-7.95*5.19","CVD","65.3","74","https://workshop.360view.link/360viewer/360view.html?d=2208241-YDC-12630","https://www.igi.org/reports/verify-your-report?r=649419498","https://data1.360view.link/data/1/imaged/2208241-YDC-12630/still.jpg"
"4","EUROPEAN  Shape Antique Cut Diamond","EUROPEAN ","4","F","VS2","","IGI","596333727","1764","9.98 - 10.03 * 5.73","CVD","57.3","55","http://view.gem360.in/gem360/3108230719-ADY133/gem360-3108230719-ADY133.html","https://www.igi.org/reports/verify-your-report?r=596333727",""
"5","PORTUGUESE  Shape Antique Cut Diamond","PORTUGUESE ","3.28","E","VS1","","IGI","639481644","1325.94","9.09-9.16*5.5","CVD","60.2","69","https://workshop.360view.link/view/0506244-mt288-18","https://www.igi.org/reports/verify-your-report?r=639481644",""
"6","PORTUGUESE  Shape Antique Cut Diamond","PORTUGUESE ","3.26","E","VS1","","IGI","639433555","1317.86","8.96-9.01*5.47","CVD","60.9","63","https://workshop.360view.link/view/2506246-MT288-42","https://www.igi.org/reports/verify-your-report?r=639433555",""
"7","EUROPEAN  Shape Antique Cut Diamond","EUROPEAN ","4","G","VS2","","IGI","596318928","1650","9.94 - 9.99 * 5.85","CVD","58.7","57","http://view.gem360.in/gem360/3108230728-ADY138/gem360-3108230728-ADY138.html","https://www.igi.org/reports/verify-your-report?r=596318928",""
"8","HALF MOON Shape Antique Cut Diamond","HALF MOON","3","E","VS1","VERY GOOD","NON-CERT","NON-CERT","1287","6.90*11.87*5.21","CVD","43.85","69","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924590193&zoomslide=1&z=1924590193&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"9","PORTUGUESE  Shape Antique Cut Diamond","PORTUGUESE ","3.12","F","VS1","","IGI","639433556","1216.8","9.11-9.15*5.16","CVD","56.5","63","https://workshop.360view.link/view/2506244-MT288-35","https://www.igi.org/reports/verify-your-report?r=639433556",""
"10","HEXAGON Shape Antique Cut Diamond","HEXAGON","3.79","E","VVS2","","IGI","645494746","2057.21","15.58 - 9.53 * 4.26","CVD","44.7","75","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEK36M-1","https://www.igi.org/reports/verify-your-report?r=645494746",""
"11","ASHOKA (CRISS ) Shape Antique Cut Diamond","ASHOKA (CRISS )","2.23","H","VS1","","IGI","533295277","474.43","9.27X6.29X4.15","CVD","66","64","https://www.filesonsky.com/v360/Vision360.HTML?d=606109","https://www.igi.org/reports/verify-your-report?r=533295277","https://www.filesonsky.com/v360/imaged/606109/606109_2.jpg"
"12","CRISS Shape Antique Cut Diamond","CRISS","2.08","G","VVS2","","IGI","620449602","608.4","8.55X6.01X4.07","CVD","67.7","64","https://www.filesonsky.com/v360/Vision360.HTML?d=650691","https://www.igi.org/reports/verify-your-report?r=620449602","https://www.filesonsky.com/v360/imaged/650691/650691_2.jpg"
