"id","name","shape","carat","color","intensity","clarity","cut","size","original_price","growth_type","depth ","table ","certificate_number"," certificate_link","video_url","lmage_link","lab","sku"
"1","OVAL  Cut Diamond","OVAL","2.56","Brown","FANCY DEEP","SI1","","10.95 - 7.73 * 3.28","460.8","CVD","42.4","82","557219996","https://www.igi.org/reports/verify-your-report?r=557219996","http://view.gem360.in/gem360/2812221120-ADE12/gem360-2812221120-ADE12.html","","IGI","OVAL_Cut_Diamond_001"
"2","ROUND Cut Diamond","ROUND","1.51","Blue","FANCY INTENSE","VS1","VERY GOOD","7.20-7.21*4.56","284.39","CVD","63.2","59","623423450","https://www.igi.org/reports/verify-your-report?r=623423450","https://mglgd.com/Media/viewer3/Vision360.html?d=RB1114","","IGI","ROUND_Cut_Diamond_002"
"3","MARQUISE Cut Diamond","MARQUISE","0.56","Pink","FANCY DEEP","VS2","EXCELLENT","4.37*8.59*2.71","106.4","CVD","61.86","60","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370001&zoomslide=1&z=1926370001&ISCONFIRM=0","","NON-CERT","MARQUISE_Cut_Diamond_003"
"4","EMERALD Cut Diamond","EMERALD","0.51","Orange","FANCY DEEP","VS1","","3.74*5.46*2.42","97.39","CVD","64.7","66","624499488","https://www.igi.org/reports/verify-your-report?r=624499488","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410391&zoomslide=1&z=1924410391&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_004"
"5","OVAL Cut Diamond","OVAL","0.65","Orange","FANCY DEEP","VVS2","","4.93*7.15*2.96","124.8","CVD","60","61","624499486","https://www.igi.org/reports/verify-your-report?r=624499486","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290361&zoomslide=1&z=1924290361&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_005"
"6","MARQUISE Cut Diamond","MARQUISE","0.55","Pink","FANCY DEEP","VVS1","EXCELLENT","4.27*8.14*2.70","106.18","CVD","63.1","61","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370010&zoomslide=1&z=1926370010&ISCONFIRM=0","","NON-CERT","MARQUISE_Cut_Diamond_006"
"7","MARQUISE Cut Diamond","MARQUISE","0.73","Orange","FANCY DEEP","VVS1","","4.62*9.59*2.86","145.22","CVD","61.9","58","627431608","https://www.igi.org/reports/verify-your-report?r=627431608","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924260814&zoomslide=1&z=1924260814&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_007"
"8","RADIANT Cut Diamond","RADIANT","2.47","Blue","FANCY VIVID","SI2","","9.68 - 6.45 * 4.59","518.7","CVD","71.2","61","605390654","https://www.igi.org/reports/verify-your-report?r=605390654","https://workshop.360view.link/view/0311232-ADD2103","","IGI","RADIANT_Cut_Diamond_008"
"9","MARQUISE Cut Diamond","MARQUISE","0.62","Pink","FANCY VIVID","VS1","","4.39*9.36*2.62","130.81","CVD","59.7","61","631429902","https://www.igi.org/reports/verify-your-report?r=631429902","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060004&zoomslide=1&z=1926060004&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_009"
"10","OVAL Cut Diamond","OVAL","1.14","Yellow","FANCY","VS1","","8.64 - 5.89 * 3.61","245.1","CVD","61.3","60","595380224","https://www.igi.org/reports/verify-your-report?r=595380224","http://view.gem360.in/gem360/1109231214-ADKR01/gem360-1109231214-ADKR01.html","","IGI","OVAL_Cut_Diamond_010"
"11","OVAL Cut Diamond","OVAL","0.96","Blue","FANCY VIVID","VS2","","5.50*7.95*3.42","208.24","CVD","62.2","58","624499485","https://www.igi.org/reports/verify-your-report?r=624499485","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290627&zoomslide=1&z=1924290627&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_011"
"12","OVAL Cut Diamond","OVAL","1.03","Pink","FANCY DEEP","VS1","GOOD","5.92*8.20*3.47","226.37","CVD","58.59","62","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370006&zoomslide=1&z=1926370006&ISCONFIRM=0","","NON-CERT","OVAL_Cut_Diamond_012"
"13","EMERALD Cut Diamond","EMERALD","0.86","Blue","FANCY VIVID","VS1","","4.48*6.43*2.93","190.03","CVD","65.4","68","626457119","https://www.igi.org/reports/verify-your-report?r=626457119","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410833&zoomslide=1&z=1924410833&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_013"
"14","EMERALD Cut Diamond","EMERALD","0.81","Blue","FANCY VIVID","VS1","","4.40*6.37*2.86","178.98","CVD","65","67","626457118","https://www.igi.org/reports/verify-your-report?r=626457118","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410753&zoomslide=1&z=1924410753&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_014"
"15","EMERALD Cut Diamond","EMERALD","0.79","Blue","FANCY VIVID","VS1","","4.35*6.34*2.88","174.56","CVD","66.2","65","624499498","https://www.igi.org/reports/verify-your-report?r=624499498","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924920428&zoomslide=1&z=1924920428&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_015"
"16","EMERALD Cut Diamond","EMERALD","0.73","Blue","FANCY VIVID","VS1","","4.14*6.29*2.66","161.3","","64.3","65","631429897","https://www.igi.org/reports/verify-your-report?r=631429897","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470389&zoomslide=1&z=1920470389&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_016"
"17","MARQUISE Cut Diamond","MARQUISE","0.63","Pink","FANCY VIVID","VVS2","","4.37*9.18*2.66","139.86","CVD","60.9","60","639406101","https://www.igi.org/reports/verify-your-report?r=639406101","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060010&zoomslide=1&z=1926060010&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_017"
"18","PEAR Cut Diamond","PEAR","1.14","Blue","FANCY VIVID","VS1","","9.06 * 5.6 * 3.81","255.36","CVD","","","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=0907247-VMJM","","NON-CERT","PEAR_Cut_Diamond_018"
"19","EMERALD Cut Diamond","EMERALD","0.74","Blue","FANCY INTENSE","VS1","","4.16*6.19*2.77","167.18","CVD","66.6","61","647475656","https://www.igi.org/reports/verify-your-report?r=647475656","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926410205&zoomslide=1&z=1926410205&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_019"
"20","EMERALD Cut Diamond","EMERALD","1.5","Green","FANCY DEEP","VS2","","7.45 * 5.44 * 3.69","339","CVD","67.8","55.5","532245044","https://www.igi.org/reports/verify-your-report?r=532245044","http://view.gem360.in/gem360/2006221256-KI6/gem360-2006221256-KI6.html","","IGI","EMERALD_Cut_Diamond_020"
"21","OVAL Cut Diamond","OVAL","0.92","Blue","FANCY VIVID","VS1","","5.59*7.59*3.50","209.82","","62.6","57","631429899","https://www.igi.org/reports/verify-your-report?r=631429899","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470396&zoomslide=1&z=1920470396&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_021"
"22","PEAR Cut Diamond","PEAR","0.91","Pink","FANCY DEEP","VS1","EXCELLENT","5.38*8.65*3.33","207.53","CVD","61.96","62","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370002&zoomslide=1&z=1926370002&ISCONFIRM=0","","NON-CERT","PEAR_Cut_Diamond_022"
"23","EMERALD Cut Diamond","EMERALD","0.8","Blue","FANCY VIVID","VVS2","","4.34*6.36*2.91","186.34","CVD","67.1","63","598326986","https://www.igi.org/reports/verify-your-report?r=598326986","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290558&zoomslide=1&z=1924290558&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_023"
"24","EMERALD Cut Diamond","EMERALD","0.76","Blue","FANCY VIVID","VVS2","","4.22*6.18*2.83","177.02","CVD","67.1","65","627431607","https://www.igi.org/reports/verify-your-report?r=627431607","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924780327&zoomslide=1&z=1924780327&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_024"
"25","EMERALD Cut Diamond","EMERALD","0.75","Blue","FANCY VIVID","VVS2","","4.21*6.14*2.81","174.69","CVD","66.7","65","627431609","https://www.igi.org/reports/verify-your-report?r=627431609","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924780410&zoomslide=1&z=1924780410&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_025"
"26","EMERALD Cut Diamond","EMERALD","0.71","Blue","FANCY VIVID","VVS2","","4.07*6.29*2.68","165.37","CVD","65.8","68","626457120","https://www.igi.org/reports/verify-your-report?r=626457120","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410908&zoomslide=1&z=1924410908&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_026"
"27","CUSHION Cut Diamond","CUSHION","2.1","Blue","FANCY DEEP","VVS2","","7.08*7.60*4.38","495.18","","61.9","63","631429904","https://www.igi.org/reports/verify-your-report?r=631429904","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470417&zoomslide=1&z=1920470417&ISCONFIRM=0","","IGI","CUSHION_Cut_Diamond_027"
"28","MARQUISE Cut Diamond","MARQUISE","0.71","Blue","FANCY VIVID","VS1","","4.45*9.55*2.83","167.56","","63.6","60","624499494","https://www.igi.org/reports/verify-your-report?r=624499494","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470186&zoomslide=1&z=1920470186&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_028"
"29","MARQUISE Cut Diamond","MARQUISE","1.9","Blue","FANCY VIVID","VS1","","13.33 - 6.62 * 3.83","450.3","CVD","57.9","67","576360510","https://www.igi.org/reports/verify-your-report?r=576360510","http://view.gem360.in/gem360/1007230532-AD1L43/gem360-1007230532-AD1L43.html","","IGI","MARQUISE_Cut_Diamond_029"
"30","MARQUISE Cut Diamond","MARQUISE","1.51","Blue","FANCY VIVID","SI1","","10.91 - 6.26 * 3.96","357.87","CVD","63.3","60.5","560227333","https://www.igi.org/reports/verify-your-report?r=560227333","http://view.gem360.in/gem360/1701231049-ADI172/gem360-1701231049-ADI172.html","","IGI","MARQUISE_Cut_Diamond_030"
"31","CUSHION  Cut Diamond","CUSHION ","2.94","Blue","FANCY VIVID","SI1","","9.01 - 7.39 * 5.24","705.6","CVD","70.9","66","588347122","https://www.igi.org/reports/verify-your-report?r=588347122","http://view.gem360.in/gem360/0308230851-ADE04/gem360-0308230851-ADE04.html","","IGI","CUSHION__Cut_Diamond_031"
"32","CUSHION  Cut Diamond","CUSHION ","2.83","Blue","FANCY VIVID","SI1","","9.63 - 7.32 * 4.71","679.2","CVD","64.3","56","610345940","https://www.igi.org/reports/verify-your-report?r=610345940","https://workshop.360view.link/view/1512230-ADD2134","","IGI","CUSHION__Cut_Diamond_032"
"33","CUSHION  Cut Diamond","CUSHION ","1.78","Blue","FANCY VIVID","VS2","","7.66 - 6.36 * 4.11","427.2","CVD","64.6","59","605346380","https://www.igi.org/reports/verify-your-report?r=605346380","https://workshop.360view.link/view/2810237-ADD290","","IGI","CUSHION__Cut_Diamond_033"
"34","CUSHION  Cut Diamond","CUSHION ","1.72","Blue","FANCY VIVID","VS1","","7.93 - 6.21 * 4.11","412.8","CVD","66.2","64","610345935","https://www.igi.org/reports/verify-your-report?r=610345935","https://workshop.360view.link/view/1512237-ADD2208","","IGI","CUSHION__Cut_Diamond_034"
