"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"1","Radiant Cut Diamond","RADIANT","1601.66","2101.66","5.16","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.38 - 8.45 * 5.66","67","64","RAD70","IGI","653452111","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38533881.html","https://www.igi.org/reports/verify-your-report?r=653452111","CVD"
"2","Marquise Cut Diamond","MARQUISE","1561.31","2061.31","5.03","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/marquise.png","17.65 - 8.85 * 5.51","62.3","61","MAR14","IGI","651437507","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38064507.html","https://www.igi.org/reports/verify-your-report?r=651437507","CVD"
"3","Radiant Cut Diamond","RADIANT","1431.04","1931.04","5.12","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.54 - 8.48 * 5.67","66.9","64","RAD80","IGI","653438631","","https://www.igi.org/reports/verify-your-report?r=653438631","CVD"
"4","Radiant Cut Diamond","RADIANT","1403.35","1903.35","5.08","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.43 - 8.39 * 5.59","66.6","64","RAD46","IGI","651400387","https://diamview360.s3.ap-south-1.amazonaws.com/polish/37813074.html","https://www.igi.org/reports/verify-your-report?r=651400387","CVD"
"5","Oval Cut Diamond","OVAL","1433.74","1933.74","5.19","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.19-9.57*5.95","62.2","58","OVA17","IGI","617473130","https://videop.co.in/vision360.html?d=23558","https://www.igi.org/reports/verify-your-report?r=617473130","CVD"
"6","Oval Cut Diamond","OVAL","1414.4","1914.4","5.12","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.22-9.45*5.86","62","57","OVA85","IGI","611395576","https://videop.co.in/vision360.html?d=22573","https://www.igi.org/reports/verify-your-report?r=611395576","CVD"
"7","Oval Cut Diamond","OVAL","1408.88","1908.88","5.1","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.92-9.64*5.84","60.6","58","OVA47","IGI","619431908","https://videop.co.in/vision360.html?d=23867","https://www.igi.org/reports/verify-your-report?r=619431908","CVD"
"8","Oval Cut Diamond","OVAL","1397.83","1897.83","5.06","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.19-9.55*5.84","61.2","60","OVA90","IGI","612320975","https://videop.co.in/vision360.html?d=22324","https://www.igi.org/reports/verify-your-report?r=612320975","CVD"
"9","Oval Cut Diamond","OVAL","1386.78","1886.78","5.02","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.68-9.83*5.56","56.6","57","OVA65","IGI","611395575","https://videop.co.in/vision360.html?d=24017","https://www.igi.org/reports/verify-your-report?r=611395575","CVD"
"10","Oval Cut Diamond","OVAL","1384.01","1884.01","5.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.65-9.55*5.98","62.6","57","OVA17","IGI","617404377","https://videop.co.in/vision360.html?d=23504","https://www.igi.org/reports/verify-your-report?r=617404377","CVD"
"11","Pear Diamond","PEAR","1664.52","2164.52","5.2","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.35-9.69*5.81","60","57","PEA77","IGI","640476126","https://videop.co.in/vision360.html?d=28410","https://www.igi.org/reports/verify-your-report?r=640476126","CVD"
"12","Radiant Cut Diamond","RADIANT","1577.51","2077.51","5.54","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.81 - 8.71 * 5.80","66.6","66","RAD29","IGI","652446145","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38224789.html","https://www.igi.org/reports/verify-your-report?r=652446145","CVD"
"13","Oval Cut Diamond","OVAL","1735.23","2235.23","5.34","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.63-9.65*5.87","60.8","59","OVA98","IGI","619453050","https://videop.co.in/vision360.html?d=23941","https://www.igi.org/reports/verify-your-report?r=619453050","CVD"
"14","Oval Cut Diamond","OVAL","1286.33","1786.33","5.26","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.26-9.87*5.96","60.4","58","OVA79","IGI","620430810","https://videop.co.in/vision360.html?d=24314","https://www.igi.org/reports/verify-your-report?r=620430810","CVD"
"15","Oval Cut Diamond","OVAL","1480.7","1980.7","5.2","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.15-9.83*6.03","61.3","59","OVA24","IGI","617416702","https://videop.co.in/vision360.html?d=23551","https://www.igi.org/reports/verify-your-report?r=617416702","CVD"
"16","L Radiant Diamond","RADIANT","1696.78","2196.78","5.23","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.87-8.42*5.37","63.8","57","L R24","IGI","637469990","https://videop.co.in/vision360.html?d=28089","https://www.igi.org/reports/verify-your-report?r=637469990","CVD"
"17","L Radiant Diamond","RADIANT","1678.93","2178.93","5.16","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.87-8.37*5.41","64.6","61","L R24","IGI","637452774","https://videop.co.in/vision360.html?d=28076","https://www.igi.org/reports/verify-your-report?r=637452774","CVD"
"18","L Radiant Diamond","RADIANT","1635.32","2135.32","5.07","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.74-8.29*5.28","63.7","61","L R59","IGI","639486804","https://videop.co.in/vision360.html?d=28236","https://www.igi.org/reports/verify-your-report?r=639486804","CVD"
"19","Radiant Cut Diamond","RADIANT","1587.22","2087.22","5.13","","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.51 - 8.36 * 5.68","67.9","66","RAD72","IGI","653424058","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38479553.html","https://www.igi.org/reports/verify-your-report?r=653424058","CVD"
"20","Emerald Diamond","EMERALD","4954.82","5454.82","11.21","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.38 - 10.43 * 7.04","67.5","65","EME65","IGI","650488144","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36B-1","https://www.igi.org/reports/verify-your-report?r=650488144","CVD"
"21","Emerald Diamond","EMERALD","4446.52","4946.52","10.06","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","14.59 - 10.18 * 6.87","67.5","65","EME36","IGI","647482926","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36B-5","https://www.igi.org/reports/verify-your-report?r=647482926","CVD"
"22","Emerald Diamond","EMERALD","4420","4920","10","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.03 - 10.07 * 6.68","66.3","63","EME10","IGI","650488145","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36A-5","https://www.igi.org/reports/verify-your-report?r=650488145","CVD"
"23","Oval Cut Diamond","OVAL","1698.47","2198.47","5.15","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.69-9.59*5.93","61.8","57","OVA78","IGI","617418730","https://videop.co.in/vision360.html?d=23559","https://www.igi.org/reports/verify-your-report?r=617418730","CVD"
"24","Oval Cut Diamond","OVAL","1275.75","1775.75","5.14","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.64-9.67*5.91","61.1","58","OVA66","IGI","620482329","https://videop.co.in/vision360.html?d=24078","https://www.igi.org/reports/verify-your-report?r=620482329","CVD"
"25","Radiant Cut Diamond","RADIANT","1854.72","2354.72","5.12","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.35 - 8.35 * 5.69","68.1","64","RAD81","IGI","654482061","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38534798.html","https://www.igi.org/reports/verify-your-report?r=654482061","CVD"
"26","Radiant Cut Diamond","RADIANT","1596.66","2096.66","5.2","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.30 - 8.55 * 5.75","67.3","65","RAD62","IGI","652446144","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38223714.html","https://www.igi.org/reports/verify-your-report?r=652446144","CVD"
"27","Marquise Cut Diamond","MARQUISE","1469.18","1969.18","5.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/marquise.png","18.85-8.99*5.26","58.5","59","MAR70","IGI","638465861","https://videop.co.in/vision360.html?d=28203","https://www.igi.org/reports/verify-your-report?r=638465861","CVD"
"28","Pear Diamond","PEAR","1498.51","1998.51","5.11","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.36-9.42*5.66","60.1","59","PEA98","IGI","620439718","https://videop.co.in/vision360.html?d=24306","https://www.igi.org/reports/verify-your-report?r=620439718","CVD"
"29","Oval Cut Diamond","OVAL","2246.3","2746.3","7.66","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","17.05-11.21*6.41","57.2","57","OVA67","IGI","611388862","https://videop.co.in/vision360.html?d=22291","https://www.igi.org/reports/verify-your-report?r=611388862","CVD"
"30","Oval Cut Diamond","OVAL","2234.57","2734.57","7.62","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.8-10.76*6.47","60.1","59","OVA12","IGI","621465876","https://videop.co.in/vision360.html?d=24458","https://www.igi.org/reports/verify-your-report?r=621465876","CVD"
"31","Oval Cut Diamond","OVAL","2082.08","2582.08","7.1","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.18-10.74*6.43","59.9","59","OVA64","IGI","614314645","https://videop.co.in/vision360.html?d=22927","https://www.igi.org/reports/verify-your-report?r=614314645","CVD"
"32","Oval Cut Diamond","OVAL","2079.14","2579.14","7.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.15-10.6*6.35","59.9","59","OVA10","IGI","619453052","https://videop.co.in/vision360.html?d=23935","https://www.igi.org/reports/verify-your-report?r=619453052","CVD"
"33","Oval Cut Diamond","OVAL","2079.14","2579.14","7.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.34-11.2*6.31","56.3","57","OVA87","IGI","612301453","https://videop.co.in/vision360.html?d=22216","https://www.igi.org/reports/verify-your-report?r=612301453","CVD"
"34","Oval Cut Diamond","OVAL","2067.41","2567.41","7.05","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.65-11*6.31","57.4","57","OVA26","IGI","611355852","https://videop.co.in/vision360.html?d=22063","https://www.igi.org/reports/verify-your-report?r=611355852","CVD"
